"bankmsb","banklsb","prog","gname","tname"
0,0,0,"","Yamaha Grand Piano"
0,0,1,"","Bright Yamaha Grand"
0,0,2,"","Electric Piano"
0,0,3,"","Honky Tonk"
0,0,4,"","Rhodes EP"
0,0,5,"","Legend EP 2"
0,0,6,"","Harpsichord"
0,0,7,"","Clavinet"
0,0,8,"","Celesta"
0,0,9,"","Glockenspiel"
0,0,10,"","Music Box"
0,0,11,"","Vibraphone"
0,0,12,"","Marimba"
0,0,13,"","Xylophone"
0,0,14,"","Tubular Bells"
0,0,15,"","Dulcimer"
0,0,16,"","DrawbarOrgan"
0,0,17,"","Percussive Organ"
0,0,18,"","Rock Organ"
0,0,19,"","Church Organ"
0,0,20,"","Reed Organ"
0,0,21,"","Accordian"
0,0,22,"","Harmonica"
0,0,23,"","Bandoneon"
0,0,24,"","Nylon String Guitar"
0,0,25,"","Steel String Guitar"
0,0,26,"","Jazz Guitar"
0,0,27,"","Clean Guitar"
0,0,28,"","Palm Muted Guitar"
0,0,29,"","Overdrive Guitar"
0,0,30,"","Distortion Guitar"
0,0,31,"","Guitar Harmonics"
0,0,32,"","Acoustic Bass"
0,0,33,"","Fingered Bass"
0,0,34,"","Picked Bass"
0,0,35,"","Fretless Bass"
0,0,36,"","Slap Bass"
0,0,37,"","Pop Bass"
0,0,38,"","Synth Bass 1"
0,0,39,"","Synth Bass 2"
0,0,40,"","Violin"
0,0,41,"","Viola"
0,0,42,"","Cello"
0,0,43,"","Contrabass"
0,0,44,"","Tremolo"
0,0,45,"","Pizzicato Section"
0,0,46,"","Harp"
0,0,47,"","Timpani"
0,0,48,"","Strings"
0,0,49,"","Slow Strings"
0,0,50,"","Synth Strings 1"
0,0,51,"","Synth Strings 2"
0,0,52,"","Ahh Choir"
0,0,53,"","Ohh Voices"
0,0,54,"","Synth Voice"
0,0,55,"","Orchestra Hit"
0,0,56,"","Trumpet"
0,0,57,"","Trombone"
0,0,58,"","Tuba"
0,0,59,"","Muted Trumpet"
0,0,60,"","French Horns"
0,0,61,"","Brass Section"
0,0,62,"","Synth Brass 1"
0,0,63,"","Synth Brass 2"
0,0,64,"","Soprano Sax"
0,0,65,"","Alto Sax"
0,0,66,"","Tenor Sax"
0,0,67,"","Baritone Sax"
0,0,68,"","Oboe"
0,0,69,"","English Horn"
0,0,70,"","Bassoon"
0,0,71,"","Clarinet"
0,0,72,"","Piccolo"
0,0,73,"","Flute"
0,0,74,"","Recorder"
0,0,75,"","Pan Flute"
0,0,76,"","Bottle Chiff"
0,0,77,"","Shakuhachi"
0,0,78,"","Whistle"
0,0,79,"","Ocarina"
0,0,80,"","Square Lead"
0,0,81,"","Saw Wave"
0,0,82,"","Calliope Lead"
0,0,83,"","Chiffer Lead"
0,0,84,"","Charang"
0,0,85,"","Solo Vox"
0,0,86,"","Fifth Sawtooth Wave"
0,0,87,"","Bass & Lead"
0,0,88,"","Fantasia"
0,0,89,"","Warm Pad"
0,0,90,"","Polysynth"
0,0,91,"","Space Voice"
0,0,92,"","Bowed Glass"
0,0,93,"","Metal Pad"
0,0,94,"","Halo Pad"
0,0,95,"","Sweep Pad"
0,0,96,"","Ice Rain"
0,0,97,"","Soundtrack"
0,0,98,"","Crystal"
0,0,99,"","Atmosphere"
0,0,100,"","Brightness"
0,0,101,"","Goblin"
0,0,102,"","Echo Drops"
0,0,103,"","Star Theme"
0,0,104,"","Sitar"
0,0,105,"","Banjo"
0,0,106,"","Shamisen"
0,0,107,"","Koto"
0,0,108,"","Kalimba"
0,0,109,"","BagPipe"
0,0,110,"","Fiddle"
0,0,111,"","Shenai"
0,0,112,"","Tinker Bell"
0,0,113,"","Agogo"
0,0,114,"","Steel Drums"
0,0,115,"","Woodblock"
0,0,116,"","Taiko Drum"
0,0,117,"","Melodic Tom"
0,0,118,"","Synth Drum"
0,0,119,"","Reverse Cymbal"
0,0,120,"","Fret Noise"
0,0,121,"","Breath Noise"
0,0,122,"","Sea Shore"
0,0,123,"","Bird Tweet"
0,0,124,"","Telephone"
0,0,125,"","Helicopter"
0,0,126,"","Applause"
0,0,127,"","Gun Shot"
0,8,4,"","Detuned EP 1"
0,8,5,"","Detuned EP 2"
0,8,6,"","Coupled Harpsichord"
0,8,14,"","Church Bell"
0,8,16,"","Detuned Organ 1"
0,8,17,"","Detuned Organ 2"
0,8,19,"","Church Organ 2"
0,8,21,"","Italian Accordion"
0,8,24,"","Ukulele"
0,8,25,"","12 String Guitar"
0,8,26,"","Hawaiian Guitar"
0,8,28,"","Funk Guitar"
0,8,30,"","Feedback Guitar"
0,8,31,"","Guitar Feedback"
0,8,38,"","Synth Bass 3"
0,8,39,"","Synth Bass 4"
0,8,40,"","Slow Violin"
0,8,48,"","Orchestral Pad"
0,8,50,"","Synth Strings 3"
0,8,61,"","Brass 2"
0,8,62,"","Synth Brass 3"
0,8,63,"","Synth Brass 4"
0,8,80,"","Sine Wave"
0,8,107,"","Taisho Koto"
0,8,115,"","Castanets"
0,8,116,"","Concert Bass Drum"
0,8,117,"","Melo Tom 2"
0,8,118,"","808 Tom"
0,9,125,"","Burst Noise"
0,16,25,"","Mandolin"
1,0,0,"","Standard"
1,0,1,"","Standard 1"
1,0,2,"","Standard 2"
1,0,3,"","Standard 3"
1,0,4,"","Standard 4"
1,0,5,"","Standard 5"
1,0,6,"","Standard 6"
1,0,7,"","Standard 7"
1,0,8,"","Room"
1,0,9,"","Room 1"
1,0,10,"","Room 2"
1,0,11,"","Room 3"
1,0,12,"","Room 4"
1,0,13,"","Room 5"
1,0,14,"","Room 6"
1,0,15,"","Room 7"
1,0,16,"","Power"
1,0,17,"","Power 1"
1,0,18,"","Power 2"
1,0,19,"","Power 3"
1,0,24,"","Electronic"
1,0,25,"","TR-808"
1,0,32,"","Jazz"
1,0,33,"","Jazz 1"
1,0,34,"","Jazz 2"
1,0,35,"","Jazz 3"
1,0,36,"","Jazz 4"
1,0,40,"","Brush"
1,0,41,"","Brush 1"
1,0,42,"","Brush 2"
1,0,48,"","Orchestra Kit"
